codigo,nombre_red,institution_red
EARM,Red de Estaciones Automáticas y Remotas de Meteorología,Consejería de Medio Ambiente y Ordenación del Territorio
SECUND,Red de Estaciones Secundarias AEMET,Agencia Estatal de Meteorología
EMA,Red de Estaciones Meteorológicas Automáticas AEMET,Agencia Estatal de Meteorología
PRINCIP,Red de Estaciones Principales AEMET,Agencia Estatal de Meteorología
SIVA,Red del Servicio de Calidad Ambiental,Consejería de Medio Ambiente
RIA,Red de Información Agroclimática de Andalucía,Consejería de Medio Ambiente
RAIF,Red de Alerta e Información Fitosanitaria,Consejería de Medio Ambiente
ENPSN,Red del Espacio Natural Protegido de Sierra Nevada,Espacio Natural Protegido de Sierra Nevada
GLORIA,Red del Proyecto GLORIA,Proyecto GLORIA
CETURSA,Red de Cetursa Sierra Nevada,"Centros Turísticos, S.A."
PG,Red del Proyecto Guadalfeo,Grupo de Dinámica Fluvial e Hidrológica. Universidad de Córdoba
RCG,Red de Seguimiento del Cambio Global en Parques Nacionales,Organismo Autónomo Parques Nacionales
CMA,Red de la Cuenca Mediterránea Andaluza,Consejería de Medio Ambiente y Ordenación del Territorio
CHG,Red de la Confederación Hidrográfica del Guadalquivir,"Ministerio de Agricultura, Alimentación y Medio Ambiente"
CHG_SAIH,"Red SAIH de las Cuencas del Guadalquivir, Guadalete y Barbate","Ministerio de Agricultura, Alimentación y Medio Ambiente"
HSUR_SAIH,Red SAIH de la Cuenca Mediterránea Andaluza (Hidrosur),Consejería de Medio Ambiente y Ordenación del Territorio
SERN,Red del Servicio de Evaluación de los Recursos Naturales,Consejería de Medio Ambiente
SN_MICROCLIMA,Red de sensores microclimáticos de Sierra Nevada,"Laboratorio de Ecología - IISTA-CEAMA, Universidad de Granada"
ADAPTAMED,Red de sensores de temperatura del proyecto LIFE-ADAPTAMED,"Laboratorio de Ecología - IISTA-CEAMA, Universidad de Granada"
